0363010000557996;N;N
0363010000623153;N;N
0363010000623168;J;J
0363010000623435;N;N
0363010000623596;N;N
0363010000623728;N;N
0363010000624345;N;N
0363010000625550;N;N
0363010000625993;N;N
0363010000626750;N;N
0363010000626763;N;N
0363010000627567;N;N
0363010000639204;N;N
0363010000639245;N;N
0363010000639445;N;N
0363010000639468;N;N
0363010000639502;N;N
0363010000640105;N;N
0363010000640502;N;N
0363010000640503;N;N
0363010000640506;N;N
0363010000640507;N;N
0363010000641509;N;N
0363010000642743;J;N
0363010000642744;J;J
0363010000642836;N;N
0363010000643254;J;J
0363010000643306;J;N
0363010000643318;N;N
0363010000643746;N;N
0363010000644015;J;N
0363010000646211;N;N
0363010000648915;N;N
0363010000712876;N;J
0363010000712887;N;N
0363010000712888;N;N
0363010000712893;N;N
0363010000712897;J;N
0363010000712939;N;N
0363010000713062;N;N
0363010000713462;J;J
0363010000713762;N;N
0363010000713871;N;N
0363010000714045;N;N
0363010000714257;N;J
0363010000714406;N;N
0363010000714423;N;N
0363010000715540;N;N
0363010000715850;N;N
0363010000715922;J;N
0363010000715937;N;N
0363010000716086;N;N
0363010000716108;N;N
0363010000716112;J;N
0363010000716170;N;N
0363010000716183;N;N
0363010000716192;J;J
0363010000716199;J;N
0363010000716201;N;N
0363010000716788;J;J
0363010000716793;N;N
0363010000716796;N;N
0363010000716836;N;N
0363010000716845;N;N
0363010000716895;N;N
0363010000716903;N;N
0363010000717493;N;N
0363010000718323;J;J
0363010000719881;N;N
0363010000719884;N;N
0363010000719914;N;N
0363010000720624;N;N
0363010000720639;N;N
0363010000721053;J;N
0363010000721186;N;N
0363010000721187;N;N
0363010000721189;N;N
0363010000721199;N;N
0363010000721374;N;N
0363010000721942;N;N
0363010000722587;N;N
0363010000722591;N;N
0363010000722592;J;N
0363010000722595;N;N
0363010000722599;N;N
0363010000722665;N;N
0363010000723285;N;N
0363010000835604;N;N
0363010000836100;N;N
0363010000837044;J;J
0363010000837484;N;N
0363010000837521;N;N
0363010000837551;N;N
0363010000839440;N;N
0363010000839573;N;N
0363010001169542;N;N
