identificatie;typeCode;beginGeldigheid;eindGeldigheid
1156;KW;2008-12-17T00:00:00;
3104;KW;2004-06-30T00:00:00;
6257;GG;2014-01-13T00:00:00;
4678;KW;2011-03-15T00:00:00;
6660;KW;2010-10-22T00:00:00;
6661;KW;2015-03-17T00:00:00;
6662;WU;2015-04-10T00:00:00;
6663;GG;1992-06-30T00:00:00;
5482;KW;2012-11-23T00:00:00;
6180;GG;2013-07-05T00:00:00;
1878;GG;2005-06-23T00:00:00;
4197;WU;2010-10-08T00:00:00;2015-04-01T00:00:00
4425;WU;2010-12-22T00:00:00;2015-04-01T00:00:00
6664;WV;2015-04-15T00:00:00;
6665;OH;2015-04-14T00:00:00;
5935;KW;2013-07-18T00:00:00;
6641;OH;2015-03-27T00:00:00;
6642;WU;2015-04-01T00:00:00;
6643;WU;2015-04-01T00:00:00;
6644;WU;2015-04-01T00:00:00;
6645;WU;2015-04-01T00:00:00;
6646;WU;2015-04-01T00:00:00;
6647;WU;2015-04-01T00:00:00;
6648;HV;2015-04-02T00:00:00;
6649;HV;2015-04-02T00:00:00;
6650;HV;2015-04-02T00:00:00;
6651;HV;2015-04-02T00:00:00;
6652;HV;2015-04-02T00:00:00;
6653;HV;2015-04-02T00:00:00;
6654;HV;2015-04-02T00:00:00;
6655;HV;2015-04-02T00:00:00;
6656;HV;2015-04-02T00:00:00;
6657;WU;2015-04-01T00:00:00;
6658;KW;2010-10-08T00:00:00;
6659;WU;2015-04-01T00:00:00;
6188;KW;2013-11-13T00:00:00;
615;KW;2008-06-12T00:00:00;
31;KW;2007-07-17T00:00:00;
6040;KW;2009-08-13T00:00:00;
1607;HV;1957-05-24T00:00:00;2015-04-02T00:00:00
1608;HV;2003-06-23T00:00:00;2015-04-02T00:00:00
1609;HV;2003-01-21T00:00:00;2015-04-02T00:00:00
6666;WU;2015-04-22T00:00:00;
6667;WV;2015-04-21T00:00:00;
6668;OS;2015-04-15T00:00:00;
6669;OH;2015-04-28T00:00:00;
6670;OH;2015-04-28T00:00:00;
5999;OH;2013-07-23T00:00:00;2015-04-29T00:00:00
6671;OH;2015-04-29T00:00:00;
6672;WU;2015-04-29T00:00:00;
